y,val
24.1935,1491.9285
72.5806,1491.9285
120.9677,1491.9285
169.3548,1491.9285
217.7419,1491.9285
266.1290,1491.9285
314.5161,1491.9285
362.9032,1491.9285
411.2903,1491.9285
459.6774,1491.9285
508.0645,1491.9285
556.4516,1491.9285
604.8387,1491.9285
653.2258,1491.9285
701.6129,1491.9285
750.0000,1491.9285
798.3871,1491.9285
846.7742,1491.9285
895.1613,1491.9285
943.5484,1491.9285
991.9355,1491.9285
1040.3226,1491.9285
1088.7097,1491.9285
1137.0968,1491.9285
1185.4839,1491.9285
1233.8710,1491.9285
1282.2581,1491.9285
1330.6452,1491.9285
1379.0323,1491.9285
1427.4194,1491.9285
1475.8065,1491.9285