ssfe-ttt,ssfe-svd,resolution
22.639705881537555,13.217325218935734,1.802363188651346
88.29310367742416,6.049434340908774,3.724107916141634
100.16061708387194,8.959675421299366,8.275302763160518
5.251668534790591,6.942723448220201,8.495407274172928
176.16938213970377,4.239759817722612,9.276651857734166
0.9142911956476079,1.0564779893799197,10.422191376572943
2.1011008722479554,1.4617721167316784,1.7691656409569332
1.881239359952118,1.5955593353770405,1.825167436508755
1.1979298424171572,1.2640993051940952,2.0355334711150395
1.094542594093368,1.2349231596960615,8.951117608686852