y,0,1,2,3,4,5,6,7,8
24.193548387096776,-0.7831,-1.3876,-0.9065,-1.7071,-0.305,1.1352,0.2949,0.8376,0.3281
72.58064516129033,-0.1661,0.4906,1.2563,-1.0016,-0.0872,0.8063,-1.6033,-0.6983,0.0416
120.96774193548387,0.1298,1.0149,1.8829,-0.9237,-0.019,0.8792,-2.0447,-1.0752,-0.0933
169.35483870967744,0.1737,0.9704,1.8294,-0.9487,0.0028,0.9407,-2.0297,-1.0056,-0.0846
217.74193548387098,0.3156,0.9045,1.6815,-0.8975,-0.0447,0.8815,-1.822,-0.9988,-0.2348
266.1290322580645,0.3788,1.1764,2.0737,-0.8858,-0.054,0.8834,-2.123,-1.2807,-0.3494
314.5161290322581,0.346,1.1727,2.1675,-1.0415,-0.0684,1.0163,-2.2162,-1.2891,-0.3353
362.90322580645164,0.3694,1.3992,2.5246,-1.0996,-0.0632,1.0816,-2.5617,-1.5077,-0.3604
411.2903225806452,0.3792,1.5379,2.7653,-1.2367,-0.0675,1.2024,-2.8024,-1.6414,-0.3757
459.6774193548387,0.3325,1.4903,2.7805,-1.33,-0.0707,1.2903,-2.814,-1.5883,-0.3203
508.0645161290323,0.3675,1.5117,2.7292,-1.2643,-0.0547,1.2378,-2.7901,-1.6022,-0.3457
556.4516129032259,0.32,1.2782,2.393,-1.2404,-0.0585,1.2128,-2.4775,-1.3837,-0.2872
604.8387096774194,0.2768,1.2033,2.1846,-0.9308,-0.0111,0.9727,-2.2437,-1.2848,-0.2651
653.2258064516129,0.1747,0.8662,1.6794,-0.8001,-0.0074,0.8448,-1.7444,-0.9388,-0.147
701.6129032258065,0.1223,0.7028,1.3455,-0.6148,0.0062,0.6722,-1.4075,-0.7599,-0.0907
750.0,0.0534,0.4919,1.008,-0.4958,0.0103,0.5464,-1.0645,-0.5294,-0.0166
798.3870967741937,-0.0174,0.2875,0.7213,-0.4222,0.008,0.4687,-0.7643,-0.3206,0.0483
846.7741935483872,0.0148,0.232,0.5653,-0.3445,-0.0016,0.3735,-0.5941,-0.2643,0.0071
895.1612903225807,0.0127,0.227,0.5168,-0.2829,-0.0027,0.3034,-0.5337,-0.2467,0.0109
943.5483870967743,-0.0403,0.1472,0.4223,-0.2417,-0.0062,0.2639,-0.4219,-0.1669,0.064
991.9354838709678,-0.0882,0.0715,0.3273,-0.2467,-0.0033,0.2628,-0.3328,-0.085,0.1072
1040.3225806451615,-0.154,-0.0039,0.2558,-0.2399,0.0022,0.2621,-0.2554,-0.0069,0.1626
1088.7096774193549,-0.1016,0.0319,0.2378,-0.188,0.0002,0.2033,-0.2393,-0.0393,0.1141
1137.0967741935485,-0.1612,-0.083,0.1195,-0.1855,0.0035,0.2035,-0.1191,0.0782,0.1691
1185.483870967742,-0.141,-0.0645,0.1125,-0.1603,0.003,0.1738,-0.112,0.0644,0.1508
1233.8709677419356,-0.1516,-0.102,0.057,-0.1572,0.0028,0.1678,-0.0583,0.1014,0.1574
1282.258064516129,-0.1304,-0.0742,0.0642,-0.1244,0.0051,0.1352,-0.0631,0.0773,0.1335
1330.6451612903227,-0.1417,-0.0976,0.0328,-0.1111,0.0081,0.1266,-0.0344,0.1,0.144
1379.0322580645163,-0.0745,0.0003,0.1012,-0.0641,0.0097,0.0774,-0.1044,0.0088,0.0822
1427.4193548387098,-0.0582,0.0174,0.1031,-0.0502,0.0118,0.063,-0.1094,-0.0064,0.0641
1475.8064516129034,-0.0925,-0.0357,0.0576,-0.0683,0.0122,0.0796,-0.0664,0.0483,0.0992